DriverNumber,Team,FastestFPLap,MeanFPLaps,StdFPLaps,DeltaBestFPLap,TrackTempAvgFP,AirTempAvgFP,RainAvgFP,GP,FastestLapRace,Year,TrackTempAvgRace,AirTempAvgRace,RainAvgRace,FasterThanTeammateRace,PointFinishRace,FasterThanTeammateFP
1,Red Bull Racing,76.002,77.20128571428572,0.6268396273109647,-0.08099999999998886,41.343333333333334,25.840416666666666,0.0,Australian Grand Prix,82.167,2025,18.942134831460674,15.707865168539326,0.3258426966292135,1.0,1.0,1.0
4,McLaren,76.58,77.44108333333334,0.6114713754997502,-0.6589999999999918,41.343333333333334,25.840416666666666,0.0,Australian Grand Prix,82.167,2025,18.942134831460674,15.707865168539326,0.3258426966292135,1.0,1.0,0.0
5,Kick Sauber,76.707,77.830125,0.57163787433567,-0.7859999999999872,41.343333333333334,25.840416666666666,0.0,Australian Grand Prix,82.167,2025,18.942134831460674,15.707865168539326,0.3258426966292135,0.0,0.0,1.0
6,Racing Bulls,76.732,77.69389999999999,0.6062104337604214,-0.8109999999999928,41.343333333333334,25.840416666666666,0.0,Australian Grand Prix,82.167,2025,18.942134831460674,15.707865168539326,0.3258426966292135,0.0,0.0,0.0
7,Alpine,76.993,77.6779,0.5090880965019714,-1.0719999999999885,41.343333333333334,25.840416666666666,0.0,Australian Grand Prix,82.167,2025,18.942134831460674,15.707865168539326,0.3258426966292135,0.0,0.0,0.0
10,Alpine,76.719,77.77438461538462,0.6377459752864632,-0.7979999999999876,41.343333333333334,25.840416666666666,0.0,Australian Grand Prix,82.167,2025,18.942134831460674,15.707865168539326,0.3258426966292135,1.0,0.0,1.0
12,Mercedes,76.206,77.20514285714286,0.7308969887496205,-0.2849999999999966,41.343333333333334,25.840416666666666,0.0,Australian Grand Prix,82.167,2025,18.942134831460674,15.707865168539326,0.3258426966292135,0.0,1.0,0.0
14,Aston Martin,77.27,78.0784,0.5025680451441396,-1.3489999999999895,41.343333333333334,25.840416666666666,0.0,Australian Grand Prix,82.167,2025,18.942134831460674,15.707865168539326,0.3258426966292135,0.0,0.0,0.0
16,Ferrari,76.188,77.06507142857143,0.6313512113244221,-0.2669999999999959,41.343333333333334,25.840416666666666,0.0,Australian Grand Prix,82.167,2025,18.942134831460674,15.707865168539326,0.3258426966292135,1.0,1.0,1.0
18,Aston Martin,76.948,78.09671428571427,0.5668886799982916,-1.0269999999999868,41.343333333333334,25.840416666666666,0.0,Australian Grand Prix,82.167,2025,18.942134831460674,15.707865168539326,0.3258426966292135,1.0,1.0,1.0
22,Racing Bulls,76.455,77.32300000000001,0.5833894496817722,-0.5339999999999918,41.343333333333334,25.840416666666666,0.0,Australian Grand Prix,82.167,2025,18.942134831460674,15.707865168539326,0.3258426966292135,1.0,0.0,1.0
23,Williams,76.258,77.28745454545457,0.5572904194136554,-0.3369999999999891,41.343333333333334,25.840416666666666,0.0,Australian Grand Prix,82.167,2025,18.942134831460674,15.707865168539326,0.3258426966292135,1.0,1.0,0.0
27,Kick Sauber,77.146,77.823375,0.6621234661111177,-1.2249999999999943,41.343333333333334,25.840416666666666,0.0,Australian Grand Prix,82.167,2025,18.942134831460674,15.707865168539326,0.3258426966292135,1.0,1.0,0.0
30,Red Bull Racing,77.64,78.6473,0.5642972709485666,-1.718999999999994,41.343333333333334,25.840416666666666,0.0,Australian Grand Prix,82.167,2025,18.942134831460674,15.707865168539326,0.3258426966292135,0.0,0.0,0.0
31,Haas F1 Team,77.373,78.30680000000001,0.49400805661446284,-1.4519999999999982,41.343333333333334,25.840416666666666,0.0,Australian Grand Prix,82.167,2025,18.942134831460674,15.707865168539326,0.3258426966292135,1.0,0.0,1.0
44,Ferrari,76.378,77.33766666666666,0.5988045498231357,-0.45699999999999363,41.343333333333334,25.840416666666666,0.0,Australian Grand Prix,82.167,2025,18.942134831460674,15.707865168539326,0.3258426966292135,0.0,1.0,0.0
55,Williams,76.252,77.21175000000001,0.5392980198059945,-0.33099999999998886,41.343333333333334,25.840416666666666,0.0,Australian Grand Prix,82.167,2025,18.942134831460674,15.707865168539326,0.3258426966292135,0.0,0.0,1.0
